week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
G,1,9.19,100,Blue,Team,Team,Fnatic,NA,Elise,Qiyana,Renekton,Vayne,Rakan,35.71666666666667,0,9,21,25,9,21,NA,NA,NA,NA,0,0,1,1.8360833333333333,0.25198320111992534,0.5879608026131591,0.8399440037330844,0,12.017816666666667,0,4,0,4,0,0,0,0,0,0,0,15.005116666666666,0,15.595733333333333,0,0,3,9,0,30.844333333333335,0,1,72037,2016.9015398973402,NA,NA,137,3.8357442837144187,1,45,1.2599160055996266,39,44,0.5098039215686274,0.2602739726027397,63447,1125.8161455902941,62033,-0.08152283165040437,1008,168,144,4,32.92580494633691,15404,15373,31,24569,25247,-678,17769,18050,-281,327,312,15,535,539,-4
G,1,9.19,200,Red,Team,Team,SK Telecom T1,NA,Pantheon,Twisted Fate,Syndra,Gragas,Sylas,35.71666666666667,1,21,9,56,21,9,NA,NA,NA,NA,1,1,0,1.8360833333333333,0.5879608026131591,0.25198320111992534,0.8399440037330844,1,12.017816666666667,4,0,4,0,0,2,1,1,0,0,1,15.005116666666666,1,15.595733333333333,1,1,9,3,1,30.844333333333335,1,0,76495,2141.7172188520763,NA,NA,124,3.4717685487634156,1,60,1.6798880074661688,42,44,0.6888888888888889,0.3333333333333333,71551,1352.7130191320578,67305,0.08152283165040437,982,242,142,15,34.269715352309845,15373,15404,-31,25247,24569,678,18050,17769,281,312,327,-15,539,535,4
G,1,9.19,1,Blue,Top,Langx,Royal Never Give Up,Renekton,Rumble,Qiyana,Elise,Rek'Sai,Jarvan IV,31.383333333333333,1,4,1,5,12,5,0,0,0,0,0,0,0,3.4404333333333335,0.12745618693574085,0.03186404673393521,0.5416887944768985,0,9.786166666666666,2,2,1,0,0,0,0,1,0,0,0,NA,1,12.928966666666668,1,1,11,1,1,27.6068,1,0,10558,336.42060541688795,0.25085535069378445,0.23138983017980674,15,0.47796070100902815,0.1282051282051282,8,0.2549123738714817,5,5,NA,NA,13663,304.1767392458842,13005,0.340080971659919,245,26,12,4,8.635156664896442,3515,3031,484,5617,5112,505,5137,4379,758,77,79,-2,120,114,6
G,1,9.19,2,Blue,Jungle,Karsa,Royal Never Give Up,Lee Sin,Rumble,Qiyana,Elise,Rek'Sai,Jarvan IV,31.383333333333333,1,2,1,7,12,5,0,0,0,0,0,0,0,3.4404333333333335,0.06372809346787042,0.03186404673393521,0.5416887944768985,0,9.786166666666666,2,2,1,2,0,0,0,1,0,0,0,NA,1,12.928966666666668,1,1,11,1,1,27.6068,1,0,5580,177.80138077535847,0.13257935753659,0.16228372528202367,20,0.6372809346787042,0.17094017094017094,13,0.41423260754115776,11,11,NA,NA,10812,213.33234200743493,10200,0.0425531914893617,22,124,86,12,4.652150823154541,3510,3542,-32,5034,5832,-798,3481,3601,-120,58,69,-11,75,107,-32
G,1,9.19,3,Blue,Middle,xiaohu,Royal Never Give Up,Kayle,Rumble,Qiyana,Elise,Rek'Sai,Jarvan IV,31.383333333333333,1,1,1,7,12,5,0,0,0,0,0,0,1,3.4404333333333335,0.03186404673393521,0.06372809346787042,0.5416887944768985,0,9.786166666666666,2,2,0,0,0,0,0,0,0,0,0,NA,1,12.928966666666668,1,1,11,1,1,27.6068,1,0,5927,188.858204992034,0.14082398783501235,0.21330734885614974,12,0.38236856080722254,0.10256410256410256,19,0.605416887944769,6,8,NA,NA,12917,280.40616038236857,11800,0.15279361459521096,239,42,29,0,8.953797132235794,3405,3712,-307,5091,5616,-525,4467,4545,-78,90,91,-1,138,150,-12
G,1,9.19,4,Blue,ADC,Uzi,Royal Never Give Up,Xayah,Rumble,Qiyana,Elise,Rek'Sai,Jarvan IV,31.383333333333333,1,3,0,5,12,5,0,0,0,0,0,0,0,3.4404333333333335,0.09559214020180563,0.03186404673393521,0.5416887944768985,0,9.786166666666666,2,2,0,0,0,0,0,0,0,0,0,NA,1,12.928966666666668,1,1,11,1,1,27.6068,1,0,15721,500.93467870419545,0.3735268960273712,0.2574227858656079,12,0.38236856080722254,0.10256410256410256,19,0.605416887944769,2,2,NA,NA,14737,338.39872543813067,13300,0.31053203040173727,311,36,28,4,11.056824216675517,3364,3064,300,5836,4715,1121,3285,3243,42,94,77,17,148,115,33
G,1,9.19,5,Blue,Support,Ming,Royal Never Give Up,Blitzcrank,Rumble,Qiyana,Elise,Rek'Sai,Jarvan IV,31.383333333333333,1,2,2,7,12,5,0,0,0,0,0,0,0,3.4404333333333335,0.06372809346787042,0,0.5416887944768985,0,9.786166666666666,2,2,0,0,0,0,0,0,0,0,0,NA,1,12.928966666666668,1,1,11,1,1,27.6068,1,0,4302,137.07912904938928,0.10221440790724197,0.1355963098164119,58,1.8481147105682423,0.49572649572649574,6,0.19118428040361127,19,19,NA,NA,9711,178.25002655337227,8525,0.30405405405405406,6,4,0,4,0.31864046733935214,2174,1859,315,4357,3236,1121,3109,2924,185,2,2,0,2,5,-3
G,1,9.19,6,Red,Top,Huni,Clutch Gaming,Gnar,Pantheon,Morgana,Kai'Sa,Alistar,Leona,31.383333333333333,0,1,3,2,5,12,0,0,0,0,0,0,0,3.4404333333333335,0.03186404673393521,0.12745618693574085,0.5416887944768985,0,9.786166666666666,2,2,0,1,0,0,0,0,0,0,1,NA,0,12.928966666666668,0,0,1,11,0,27.6068,0,1,10105,321.98619224641527,0.2298942099874872,0.2291593431242048,9,0.2867764206054169,0.0743801652892562,16,0.5098247477429634,5,5,NA,NA,10349,198.57928836962293,9225,-0.340080971659919,237,0,0,0,7.551779075942645,3031,3515,-484,5112,5617,-505,4379,5137,-758,79,77,2,114,120,-6
G,1,9.19,7,Red,Jungle,Lira,Clutch Gaming,Nocturne,Pantheon,Morgana,Kai'Sa,Alistar,Leona,31.383333333333333,0,1,3,3,5,12,0,0,0,0,0,1,0,3.4404333333333335,0.03186404673393521,0.06372809346787042,0.5416887944768985,1,9.786166666666666,2,2,2,1,0,0,1,1,0,0,1,NA,0,12.928966666666668,0,0,1,11,0,27.6068,0,1,5756,183.40945300053107,0.13095211011261518,0.21275951079962052,28,0.8921933085501859,0.23140495867768596,10,0.3186404673393521,12,12,NA,NA,9903,184.36792352628783,9775,-0.0425531914893617,23,157,106,8,5.735528412108337,3542,3510,32,5832,5034,798,3601,3481,120,69,58,11,107,75,32
G,1,9.19,8,Red,Middle,Damonte,Clutch Gaming,Syndra,Pantheon,Morgana,Kai'Sa,Alistar,Leona,31.383333333333333,0,2,2,2,5,12,0,0,0,0,1,0,0,3.4404333333333335,0.06372809346787042,0.03186404673393521,0.5416887944768985,0,9.786166666666666,2,2,0,0,0,0,0,0,0,0,1,NA,0,12.928966666666668,0,0,1,11,0,27.6068,0,1,14301,455.68773234200745,0.32535547719258334,0.24405156754451118,19,0.605416887944769,0.15702479338842976,2,0.06372809346787042,9,9,NA,NA,10754,211.4842272968667,10125,-0.15279361459521096,233,20,17,0,8.061603823685608,3712,3405,307,5616,5091,525,4545,4467,78,91,90,1,150,138,12
