week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,herald,heraldtime,ft,fttime,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
2,6,6.18,6,Red,Top,Hauntzer,Team SoloMid,Jayce,Nidalee,Syndra,Caitlyn,36.86666666666667,0,1,5,6,11,22,NA,NA,NA,NA,0,0,7.0483,0.027124773960216998,0.13562386980108498,0.895117540687161,0,9.612116666666667,0,4,NA,NA,0,7.760316666666666,1,5,11,0,26.680033333333334,0,2,24249,657.748643761302,0.3220275959150609,0.2299045244466066,20,0.5424954792043399,0.1360544217687075,9,0.244122965641953,3,4,NA,NA,13841,246.1117540687161,12800,0.020122312093115012,312,5,5,0,8.598553345388789,0.2815384615384615,94,59,35,3351,2806,545,4947,4654,293,4699,4130,569
2,6,6.18,7,Red,Jungle,Svenskeren,Team SoloMid,Rek'Sai,Nidalee,Syndra,Caitlyn,36.86666666666667,0,1,7,8,11,22,NA,NA,NA,NA,0,0,7.0483,0.027124773960216998,0.081374321880651,0.895117540687161,0,9.612116666666667,0,4,NA,NA,0,7.760316666666666,1,5,11,0,26.680033333333334,0,2,10722,290.8318264014467,0.14238854729684866,0.17274081731938698,33,0.895117540687161,0.22448979591836735,17,0.46112115732368897,9,11,NA,NA,11585,184.91826401446653,11550,-0.0709812108559499,21,113,108,5,3.634719710669078,0.10153846153846154,42,28,14,2875,2822,53,4611,4407,204,2929,3204,-275
2,6,6.18,8,Red,Middle,Bjergsen,Team SoloMid,Ryze,Nidalee,Syndra,Caitlyn,36.86666666666667,0,5,1,5,11,22,NA,NA,NA,NA,0,0,7.0483,0.13562386980108498,0.10849909584086799,0.895117540687161,0,9.612116666666667,0,4,NA,NA,0,7.760316666666666,1,5,11,0,26.680033333333334,0,2,23207,629.4846292947559,0.3081897982762513,0.25711809778642664,21,0.569620253164557,0.14285714285714285,4,0.10849909584086799,6,6,NA,NA,14915,275.24376130198914,14850,0.17184643510054845,311,24,19,5,9.086799276672695,0.30153846153846153,89,84,5,3265,3540,-275,5222,5639,-417,4557,4427,130
2,6,6.18,9,Red,ADC,Doublelift,Team SoloMid,Lucian,Nidalee,Syndra,Caitlyn,36.86666666666667,0,2,5,7,11,22,NA,NA,NA,NA,0,0,7.0483,0.054249547920433995,0.27124773960216997,0.895117540687161,0,9.612116666666667,0,4,NA,NA,0,7.760316666666666,1,5,11,0,26.680033333333334,0,2,12386,335.96745027124774,0.16448652740335454,0.22724397956701528,18,0.488245931283906,0.12244897959183673,10,0.27124773960216997,5,5,NA,NA,13736,243.2636528028933,13675,-0.1981685223005468,271,16,16,0,7.784810126582278,0.2676923076923077,66,69,-3,2848,4282,-1434,4541,6040,-1499,2665,3203,-538
2,6,6.18,10,Red,Support,Biofrost,Team SoloMid,Braum,Nidalee,Syndra,Caitlyn,36.86666666666667,0,2,4,7,11,22,NA,NA,NA,NA,0,1,7.0483,0.054249547920433995,0,0.895117540687161,0,9.612116666666667,0,4,NA,NA,0,7.760316666666666,1,5,11,0,26.680033333333334,0,2,4737,128.4900542495479,0.06290753110848461,0.11299258088056431,55,1.4918625678119348,0.3741496598639456,8,0.21699819168173598,6,8,NA,NA,9227,120.95804701627486,9000,-0.13953488372093023,47,2,2,0,1.3291139240506329,0.047692307692307694,15,2,13,1945,2523,-578,3146,3601,-455,2174,2272,-98
2,6,6.18,100,Blue,Team,Team,Royal Never Give Up,NA,Lee Sin,Jhin,Karma,36.86666666666667,1,22,11,63,22,11,NA,NA,NA,NA,1,0,7.0483,0.596745027124774,0.298372513562387,0.895117540687161,1,9.612116666666667,4,0,NA,NA,1,7.760316666666666,0,11,5,1,26.680033333333334,2,0,93737,2542.5949367088606,NA,NA,142,3.851717902350814,1,63,1.7088607594936709,39,42,0.918918918918919,0.26126126126126126,73422,1344.9439421338154,64478,0.04120202923555436,893,130,94,36,27.748643761301988,NA,242,306,-64,15973,14284,1689,24341,22467,1874,17236,17024,212
2,6,6.18,200,Red,Team,Team,Team SoloMid,NA,Nidalee,Syndra,Caitlyn,36.86666666666667,0,11,22,33,11,22,NA,NA,NA,NA,0,1,7.0483,0.298372513562387,0.596745027124774,0.895117540687161,0,9.612116666666667,0,4,NA,NA,0,7.760316666666666,1,5,11,0,26.680033333333334,0,2,75301,2042.5226039783001,NA,NA,147,3.9873417721518987,1,48,1.301989150090416,29,34,0.5434782608695652,0.23958333333333334,63304,1070.49547920434,61875,-0.04120202923555436,962,160,150,10,30.43399638336347,NA,306,242,64,14284,15973,-1689,22467,24341,-1874,17024,17236,-212
2,1,6.18,1,Blue,Top,AmazingJ,I MAY,Ekko,Skarner,Nidalee,Syndra,41.18333333333333,1,4,0,10,16,5,NA,NA,NA,NA,0,0,15.960533333333332,0.09712666936462971,0.04856333468231486,0.509915014164306,0,11.260816666666667,1,3,NA,NA,0,18.2751,0,9,4,1,30.0342,2,0,23472,569.9392958316472,0.23747951192861044,0.22878547177510405,22,0.5341966815054634,0.1527777777777778,1,0.02428166734115743,1,1,NA,NA,16846,280.4522865236746,16625,0.27700736175312446,335,6,3,3,8.280048563334683,0.26187419768934533,79,81,-2,3107,3133,-26,4890,4922,-32,4387,4403,-16
2,1,6.18,2,Blue,Jungle,Athena,I MAY,Lee Sin,Skarner,Nidalee,Syndra,41.18333333333333,1,1,2,5,16,5,NA,NA,NA,NA,1,0,15.960533333333332,0.02428166734115743,0,0.509915014164306,0,11.260816666666667,1,3,NA,NA,0,18.2751,0,9,4,1,30.0342,2,0,8440,204.9372723593687,0.08539225803840628,0.17809594364924983,34,0.8255766895993526,0.2361111111111111,23,0.5584783488466208,6,6,NA,NA,14287,218.31549979765276,13675,0.04295051353874883,45,126,106,20,4.152165115337921,0.1399229781771502,42,43,-1,2991,3100,-109,4390,4439,-49,3378,3520,-142
2,1,6.18,3,Blue,Middle,BaeMe,I MAY,Aurelion Sol,Skarner,Nidalee,Syndra,41.18333333333333,1,6,1,7,16,5,NA,NA,NA,NA,0,0,15.960533333333332,0.14569000404694457,0.07284500202347229,0.509915014164306,0,11.260816666666667,1,3,NA,NA,0,18.2751,0,9,4,1,30.0342,2,0,24326,590.6758397409956,0.24611991339363404,0.21777203776260898,15,0.3642250101173614,0.10416666666666667,6,0.14569000404694457,11,13,NA,NA,16290,266.9516794819911,13325,-0.06357856494096276,285,20,16,4,7.405908539053016,0.22721437740693196,87,98,-11,3232,3443,-211,4796,5147,-351,4775,5153,-378
